numThreads,serialTime,parallelTime,speedUp
1,1.060679,1.143090,0.927905
2,1.115577,0.754963,1.477658
3,1.187451,0.491776,2.414618
4,1.352886,0.432261,3.129790
5,1.359904,0.368036,3.695030
6,1.463238,0.330317,4.429799
7,1.280602,0.368216,3.477855
8,1.333585,0.420666,3.170175
9,1.437515,0.348849,4.120737
10,1.281393,0.276984,4.626235
11,1.399224,0.319665,4.377157
12,1.312531,0.306355,4.284347
13,1.377505,0.302232,4.557773
14,1.385451,0.394360,3.513163
15,1.774479,0.493661,3.594529
16,2.268257,0.713451,3.179275
17,2.270764,0.560341,4.052468
18,1.938059,0.478155,4.053202
19,1.746555,0.479489,3.642534
20,2.041165,0.464556,4.393798
21,1.812866,0.459203,3.947853
22,1.920423,0.466813,4.113902
23,1.589889,0.392226,4.053502
24,1.484329,0.462191,3.211506
25,1.531089,0.533721,2.868707
26,1.779221,0.640541,2.777685
27,1.858721,0.368094,5.049582
28,1.384216,0.575326,2.405968
29,1.309613,0.452250,2.895772
30,1.221758,0.624085,1.957679
31,1.121670,0.628290,1.785274
32,1.136367,0.603752,1.882175
33,1.124735,0.586811,1.916690
34,1.145092,0.601338,1.904240
35,1.169025,0.579972,2.015658
36,1.128724,0.608212,1.855807
37,1.141261,0.630749,1.809374
38,1.133093,0.510817,2.218198
39,1.123326,0.480964,2.335572
40,1.125674,0.505810,2.225488
41,1.186426,0.573826,2.067571
42,1.334543,0.489386,2.726974
43,1.219338,0.600542,2.030396
44,1.178783,0.582648,2.023148
45,1.118147,0.477345,2.342429
46,1.077282,0.453960,2.373077
47,1.103355,0.472593,2.334683
48,1.079201,0.501945,2.150038
49,1.083790,0.446408,2.427801
50,1.078916,0.453634,2.378384
51,1.079218,0.456985,2.361605
52,1.085385,0.445306,2.437391
53,1.079486,0.449658,2.400682
54,1.091495,0.460738,2.369014
55,1.099199,0.504537,2.178629
56,1.107998,0.589626,1.879154
57,1.140093,0.547900,2.080841
58,1.151978,0.522330,2.205460
59,1.111171,0.516864,2.149832
60,1.085592,0.453847,2.391978
61,1.119687,0.532458,2.102864
62,1.108574,0.575853,1.925099
63,1.179641,0.490979,2.402630
64,1.088224,0.445031,2.445277
65,1.081706,0.464185,2.330334
66,1.176296,0.441801,2.662502
67,1.080129,0.471910,2.288845
68,1.104792,0.478342,2.309628
69,1.138422,0.525988,2.164350
70,1.104957,0.481271,2.295914
71,1.109051,0.471691,2.351224
72,1.080373,0.453026,2.384792
73,1.074835,0.461150,2.330771
74,1.081671,0.450295,2.402139
75,1.083492,0.464516,2.332518
76,1.124717,0.432973,2.597661
77,1.072628,0.466076,2.301401
78,1.072397,0.459966,2.331470
79,1.071488,0.461396,2.322274
80,1.088581,0.483620,2.250902
81,1.093753,0.450531,2.427698
82,1.085145,0.579330,1.873103
83,1.079541,0.469664,2.298539
84,1.072906,0.457638,2.344443
85,1.092058,0.457486,2.387085
86,1.086363,0.437422,2.483558
87,1.077961,0.458207,2.352563
88,1.072953,0.453208,2.367463
89,1.083227,0.430749,2.514752
90,1.086305,0.461938,2.351625
91,1.084060,0.441846,2.453479
92,1.079223,0.461766,2.337164
93,1.093790,0.442772,2.470323
94,1.076153,0.455683,2.361626
95,1.089638,0.446645,2.439606
96,1.082475,0.445357,2.430578
97,1.072160,0.432135,2.481077
98,1.083983,0.459779,2.357617
99,1.068715,0.459309,2.326789
100,1.076529,0.459279,2.343954
101,1.101678,0.430378,2.559792
102,1.082271,0.457861,2.363755
103,1.083237,0.452496,2.393915
104,1.071190,0.464799,2.304631
105,1.078221,0.445916,2.417991
106,1.078177,0.455018,2.369526
107,1.074492,0.451740,2.378563
108,1.084878,0.456153,2.378320
109,1.086084,0.469506,2.313248
110,1.094070,0.446583,2.449869
111,1.090749,0.456497,2.389389
112,1.097581,0.433366,2.532688
113,1.076161,0.454824,2.366104
114,1.081181,0.452457,2.389577
115,1.087471,0.447637,2.429359
116,1.109043,0.423195,2.620643
117,1.083098,0.449790,2.408008
118,1.089136,0.438864,2.481716
119,1.098680,0.425239,2.583676
120,1.179642,0.664709,1.774674
121,1.129908,0.590177,1.914524
122,1.169218,0.526323,2.221484
123,1.253528,0.567943,2.207137
124,1.175914,0.466756,2.519333
125,1.074872,0.631335,1.702538
126,1.081514,0.447252,2.418131
127,1.277797,0.623723,2.048661
128,1.084096,0.535261,2.025360
129,1.078606,0.461252,2.338431
130,1.076548,0.450529,2.389520
131,1.087790,0.455347,2.388925
132,1.085932,0.453257,2.395842
133,1.081594,0.456991,2.366773
134,1.067019,0.443090,2.408132
135,1.070225,0.460435,2.324378
136,1.067606,0.448409,2.380875
137,1.084134,0.436375,2.484409
138,1.085694,0.460946,2.355360
139,1.070921,0.445001,2.406559
140,1.083810,0.456351,2.374948
141,1.097054,0.438887,2.499627
142,1.075533,0.468501,2.295690
143,1.063055,0.460956,2.306196
144,1.071658,0.460101,2.329180
145,1.086241,0.447264,2.428635
146,1.095184,0.435291,2.515981
147,1.102291,0.425651,2.589659
148,1.082822,0.457322,2.367745
149,1.093587,0.429501,2.546180
150,1.074010,0.467052,2.299551
151,1.072061,0.464026,2.310347
152,1.067672,0.440316,2.424786
153,1.081885,0.456949,2.367627
154,1.075350,0.476726,2.255698
155,1.073797,0.456865,2.350360
156,1.096975,0.441226,2.486198
157,1.121751,0.406205,2.761539
158,1.127764,0.416185,2.709766
159,1.086353,0.441569,2.460211
160,1.078585,0.457375,2.358207
161,1.086778,0.631389,1.721249
162,1.118286,0.430722,2.596306
163,1.095203,0.682522,1.604641
164,1.098935,0.451917,2.431719
165,1.088092,0.496119,2.193208
166,1.080921,0.447106,2.417594
167,1.102268,0.408344,2.699361
168,1.093436,0.515923,2.119378
169,1.298963,0.609125,2.132506
170,1.145078,0.582809,1.964757
171,1.139964,0.627703,1.816088
172,1.203257,0.621076,1.937375
173,1.125577,0.598852,1.879558
174,1.136503,0.610696,1.860996
175,1.213609,0.526665,2.304328
176,1.142760,0.575250,1.986545
177,1.146558,0.593698,1.931214
178,1.170373,0.563282,2.077775
179,1.155404,0.572611,2.017782
180,1.184023,0.537726,2.201908
181,1.126837,0.591667,1.904512
182,1.140649,0.572828,1.991259
183,1.256249,0.481709,2.607900
184,1.138620,0.581550,1.957906
185,1.150128,0.557574,2.062736
186,1.181143,0.547385,2.157792
187,1.130471,0.583616,1.937012
188,1.152439,0.581440,1.982043
189,1.145546,0.558142,2.052428
190,1.122671,0.603576,1.860033
191,1.122960,0.609599,1.842129
192,1.139133,0.596909,1.908386
193,1.115281,0.598831,1.862430
194,1.135819,0.606794,1.871836
195,1.174471,0.622158,1.887738
196,1.130427,0.603048,1.874522
197,1.147873,0.605315,1.896323
198,1.197773,0.584343,2.049777
199,1.130930,0.596066,1.897323
200,1.131628,0.616529,1.835482
201,1.250879,0.439024,2.849227
202,1.077509,0.468290,2.300944
203,1.135612,0.580654,1.955746
204,1.131573,0.520246,2.175073
205,1.160523,0.587703,1.974676
206,1.116088,0.562792,1.983127
207,1.170127,0.478191,2.446987
208,1.098741,0.494217,2.223195
209,1.090079,0.481404,2.264375
210,1.114818,0.519682,2.145193
211,1.123372,0.462447,2.429191
212,1.090831,0.464836,2.346701
213,1.106218,0.437533,2.528308
214,1.114169,0.479649,2.322884
215,1.101646,0.472398,2.332029
216,1.089525,0.434877,2.505364
217,1.079339,0.455716,2.368447
218,1.068086,0.446992,2.389497
219,1.083448,0.438330,2.471763
220,1.078750,0.436150,2.473346
221,1.082791,0.452574,2.392517
222,1.091100,0.443795,2.458568
223,1.092284,0.435875,2.505957
224,1.077393,0.466155,2.311233
225,1.074507,0.452398,2.375136
226,1.065591,0.459917,2.316920
227,1.077316,0.460709,2.338387
228,1.083921,0.464616,2.332939
229,1.086947,0.440905,2.465263
230,1.091621,0.436378,2.501549
231,1.069324,0.449469,2.379083
232,1.078782,0.458509,2.352804
233,1.071483,0.452557,2.367620
234,1.074787,0.451287,2.381604
235,1.079881,0.462823,2.333248
236,1.081203,0.469906,2.300892
237,1.093548,0.430437,2.540553
238,1.072654,0.459804,2.332851
239,1.137292,0.413334,2.751508
240,1.079640,0.464333,2.325142
241,1.071589,0.446576,2.399567
242,1.087594,0.467579,2.326011
243,1.074905,0.468244,2.295609
244,1.088546,0.448961,2.424589
245,1.094313,0.442196,2.474724
246,1.081218,0.460167,2.349621
247,1.075960,0.457161,2.353569
248,1.077285,0.454553,2.369988
249,1.091984,0.450891,2.421836
250,1.079493,0.448979,2.404328
251,1.082745,0.464473,2.331126
252,1.084882,0.458236,2.367518
253,1.082808,0.474481,2.282089
254,1.073068,0.452217,2.372905
255,1.080716,0.455114,2.374605
256,1.096100,0.439418,2.494436
257,1.091027,0.436170,2.501380
258,1.087136,0.456464,2.381647
259,1.084298,0.459856,2.357908
260,1.095208,0.465207,2.354238
261,1.090325,0.437645,2.491346
262,1.087179,0.452701,2.401539
263,1.091209,0.461161,2.366221
264,1.077530,0.458183,2.351746
265,1.088287,0.450789,2.414183
266,1.085156,0.463710,2.340161
267,1.072978,0.455564,2.355274
268,1.070579,0.460869,2.322957
269,1.115056,0.424791,2.624952
270,1.155680,0.372336,3.103863
271,1.129729,0.406365,2.780084
272,1.073715,0.458274,2.342954
273,1.073249,0.451037,2.379514
274,1.298400,0.643214,2.018613
275,1.376275,0.726331,1.894832
276,1.141869,0.509635,2.240562
277,1.151001,0.589009,1.954131
278,1.164497,0.514655,2.262675
279,1.122178,0.726962,1.543654
280,1.238600,0.464918,2.664126
281,1.130760,0.507899,2.226348
282,1.108413,0.508786,2.178545
283,1.352138,0.530545,2.548583
284,1.110313,0.563053,1.971951
285,1.105892,0.438209,2.523663
286,1.094779,0.444824,2.461151
287,1.079420,0.459003,2.351662
288,1.099240,0.463610,2.371045
289,1.098424,0.464453,2.364984
290,1.094505,0.451641,2.423396
291,1.163682,0.487185,2.388583
292,1.169344,0.474009,2.466924
293,1.112407,0.446214,2.492990
294,1.078372,0.462590,2.331162
295,1.096587,0.439417,2.495550
