numThreads,serialTime,parallelTime,speedUp
1,0.940207,0.904954,1.038956
2,0.893330,0.518400,1.723245
3,1.092198,0.361443,3.021771
4,1.107376,0.446570,2.479737
5,1.134373,0.292285,3.881051
6,1.366175,0.319051,4.281996
7,1.185205,0.404697,2.928623
8,1.181098,0.411733,2.868602
9,1.337720,0.301071,4.443204
10,1.300997,0.291880,4.457301
11,1.422494,0.404385,3.517673
12,1.380509,0.332747,4.148825
13,1.271088,0.398632,3.188625
14,1.399520,0.362447,3.861309
15,1.259663,0.440573,2.859147
16,1.275526,0.323275,3.945638
17,1.508820,0.412900,3.654202
18,2.027896,0.423639,4.786849
19,2.298435,0.672302,3.418754
20,2.179031,0.600337,3.629680
21,1.811467,0.458444,3.951338
22,1.826151,0.509933,3.581159
23,1.851572,0.472161,3.921484
24,1.804816,0.446820,4.039246
25,1.882152,0.417774,4.505192
26,1.523229,0.409849,3.716561
27,1.515094,0.434685,3.485499
28,1.634224,0.420284,3.888380
29,1.913637,0.569371,3.360967
30,1.662167,0.357350,4.651370
31,1.381470,0.452370,3.053850
32,1.284554,0.391117,3.284322
33,1.199893,0.463118,2.590901
34,1.142785,0.578461,1.975561
35,1.147762,0.611629,1.876566
36,1.192651,0.549543,2.170260
37,1.135901,0.579613,1.959758
38,1.130277,0.608801,1.856562
39,1.156430,0.594112,1.946485
40,1.163214,0.596762,1.949209
41,1.166246,0.491551,2.372584
42,1.109403,0.482865,2.297543
43,1.159652,0.498515,2.326213
44,1.182648,0.547369,2.160605
45,1.280197,0.543803,2.354156
46,1.206130,0.623513,1.934410
47,1.207973,0.541069,2.232567
48,1.097617,0.513308,2.138320
49,1.093135,0.431246,2.534829
50,1.099889,0.471674,2.331884
51,1.107454,0.483657,2.289751
52,1.074360,0.454541,2.363615
53,1.084108,0.447851,2.420689
54,1.095015,0.440950,2.483309
55,1.078646,0.449413,2.400122
56,1.076013,0.459903,2.339652
57,1.092811,0.447164,2.443871
58,1.113096,0.490887,2.267520
59,1.111681,0.604342,1.839490
60,1.116995,0.554247,2.015338
61,1.142682,0.541968,2.108394
62,1.119390,0.496660,2.253836
63,1.085311,0.457983,2.369763
64,1.106129,0.546123,2.025421
65,1.119304,0.569195,1.966468
66,1.164890,0.501586,2.322413
67,1.071422,0.469946,2.279883
68,1.102914,0.435093,2.534893
69,1.142337,0.479729,2.381213
70,1.085139,0.458800,2.365168
71,1.095249,0.500824,2.186894
72,1.133049,0.524026,2.162200
73,1.106990,0.467750,2.366627
74,1.132727,0.457777,2.474408
75,1.092256,0.445269,2.453025
76,1.087321,0.435445,2.497034
77,1.086177,0.450782,2.409539
78,1.087315,0.467503,2.325793
79,1.080551,0.468984,2.304025
80,1.092339,0.455617,2.397494
81,1.089975,0.439465,2.480232
82,1.098816,0.425950,2.579683
83,1.112418,0.473248,2.350603
84,1.088257,0.455706,2.388068
85,1.114496,0.545512,2.043027
86,1.099036,0.440874,2.492857
87,1.082835,0.455797,2.375696
88,1.083884,0.457506,2.369114
89,1.075954,0.455613,2.361552
90,1.083966,0.448482,2.416967
91,1.070209,0.457715,2.338156
92,1.072719,0.451303,2.376937
93,1.097917,0.438008,2.506614
94,1.084667,0.451313,2.403359
95,1.086016,0.441978,2.457172
96,1.079887,0.456188,2.367197
97,1.087130,0.452415,2.402949
98,1.078087,0.450825,2.391365
99,1.077681,0.451079,2.389118
100,1.076624,0.447568,2.405498
101,1.091100,0.443394,2.460791
102,1.097551,0.434463,2.526224
103,1.086380,0.432596,2.511304
104,1.090174,0.454806,2.397009
105,1.077710,0.470341,2.291338
106,1.082011,0.435704,2.483363
107,1.086988,0.451111,2.409580
108,1.078575,0.457430,2.357902
109,1.092619,0.432622,2.525574
110,1.076761,0.453948,2.371992
111,1.079144,0.465057,2.320455
112,1.079997,0.464010,2.327530
113,1.092103,0.459613,2.376136
114,1.104746,0.431407,2.560798
115,1.086586,0.453482,2.396095
116,1.090396,0.435991,2.500960
117,1.084746,0.452691,2.396217
118,1.074229,0.456481,2.353283
119,1.072648,0.460152,2.331073
120,1.073133,0.455567,2.355599
121,1.078228,0.445746,2.418929
122,1.075842,0.453261,2.373560
123,1.199137,0.647262,1.852630
124,1.124681,0.599641,1.875591
125,1.160426,0.527664,2.199176
126,1.262574,0.563038,2.242431
127,1.161430,0.488783,2.376167
128,1.098710,0.599433,1.832915
129,1.096447,0.421865,2.599047
130,1.267797,0.647820,1.957020
131,1.088841,0.530996,2.050563
132,1.087632,0.441731,2.462204
133,1.079988,0.453938,2.379153
134,1.083348,0.465170,2.328929
135,1.082115,0.461932,2.342585
136,1.085920,0.438318,2.477471
137,1.075737,0.451946,2.380233
138,1.092920,0.424146,2.576754
139,1.092935,0.429956,2.541969
140,1.070209,0.449834,2.379120
141,1.089242,0.438681,2.482993
142,1.076668,0.459374,2.343772
143,1.103910,0.429416,2.570724
144,1.075770,0.463055,2.323201
145,1.084696,0.450997,2.405107
146,1.103276,0.420757,2.622122
147,1.081620,0.450580,2.400506
148,1.075165,0.452916,2.373873
149,1.071760,0.464189,2.308887
150,1.066150,0.464581,2.294864
151,1.090671,0.444985,2.451029
152,1.077330,0.456280,2.361116
153,1.117322,0.426397,2.620380
154,1.115688,0.412735,2.703158
155,1.122036,0.410730,2.731809
156,1.132157,0.390669,2.897995
157,1.128634,0.413938,2.726577
158,1.085747,0.445725,2.435912
159,1.075445,0.460078,2.337528
160,1.080079,0.454463,2.376605
161,1.078409,0.449685,2.398143
162,1.081634,0.454618,2.379215
163,1.076193,0.455315,2.363623
164,1.089149,0.641766,1.697112
165,1.095345,0.450292,2.432522
166,1.101913,0.672238,1.639171
167,1.117819,0.439091,2.545757
168,1.108447,0.465948,2.378907
169,1.098097,0.424655,2.585857
170,1.087100,0.448228,2.425328
171,1.077319,0.522336,2.062502
172,1.247630,0.661633,1.885683
173,1.128851,0.597758,1.888475
174,1.139272,0.620637,1.835650
175,1.215845,0.608120,1.999350
176,1.141216,0.595053,1.917839
177,1.174124,0.564843,2.078673
178,1.130174,0.602889,1.874597
179,1.115827,0.608098,1.834946
180,1.130753,0.612100,1.847334
181,1.125900,0.603925,1.864304
182,1.125662,0.601566,1.871219
183,1.121046,0.599316,1.870542
184,1.149199,0.578227,1.987453
185,1.112344,0.596593,1.864494
186,1.102905,0.609242,1.810290
187,1.142466,0.599794,1.904764
188,1.110867,0.602460,1.843885
189,1.111332,0.602676,1.843996
190,1.128044,0.598725,1.884077
191,1.131807,0.597048,1.895672
192,1.118920,0.602580,1.856882
193,1.162977,0.558563,2.082087
194,1.162183,0.563608,2.062041
195,1.132495,0.602995,1.878117
196,1.119298,0.605981,1.847084
197,1.138167,0.592346,1.921456
198,1.198169,0.595406,2.012356
199,1.153189,0.594220,1.940677
200,1.179525,0.569002,2.072972
201,1.164243,0.611284,1.904586
202,1.120750,0.619655,1.808668
203,1.132561,0.599571,1.888952
204,1.196761,0.497246,2.406779
205,1.088318,0.441511,2.464985
206,1.103959,0.631856,1.747169
207,1.122943,0.522736,2.148203
208,1.161003,0.594031,1.954449
209,1.137412,0.537651,2.115521
210,1.164846,0.482288,2.415250
211,1.107934,0.484972,2.284532
212,1.101097,0.464470,2.370653
213,1.108697,0.538133,2.060266
214,1.141035,0.442738,2.577224
215,1.092863,0.455207,2.400804
216,1.082788,0.469807,2.304751
217,1.121064,0.466044,2.405490
218,1.103393,0.457071,2.414052
219,1.091790,0.454614,2.401576
220,1.081023,0.447420,2.416126
221,1.073762,0.442146,2.428524
222,1.064937,0.447681,2.378785
223,1.078922,0.453163,2.380870
224,1.073527,0.458213,2.342856
225,1.072543,0.459877,2.332239
226,1.073593,0.458411,2.341988
227,1.075702,0.462224,2.327231
228,1.077610,0.441982,2.438131
229,1.086939,0.445078,2.442131
230,1.078137,0.460080,2.343369
231,1.070971,0.473393,2.262330
232,1.073378,0.446354,2.404768
233,1.076206,0.451650,2.382832
234,1.093713,0.437414,2.500407
235,1.095331,0.435748,2.513680
236,1.080723,0.453066,2.385354
237,1.090041,0.432614,2.519662
238,1.102441,0.438795,2.512428
239,1.085451,0.458611,2.366823
240,1.075578,0.460841,2.333946
241,1.113646,0.421864,2.639822
242,1.079785,0.458058,2.357311
243,1.088543,0.456219,2.386010
244,1.119014,0.422287,2.649890
245,1.089327,0.447252,2.435600
246,1.126589,0.421281,2.674198
247,1.079710,0.455974,2.367920
248,1.086582,0.449056,2.419703
249,1.097163,0.438108,2.504321
250,1.134963,0.405879,2.796309
251,1.128501,0.407557,2.768940
252,1.075258,0.461812,2.328346
253,1.126821,0.412027,2.734823
254,1.127658,0.404395,2.788506
255,1.114247,0.437835,2.544902
256,1.077614,0.466824,2.308395
257,1.095396,0.436987,2.506702
258,1.080100,0.458885,2.353749
259,1.077033,0.458969,2.346636
260,1.074225,0.457693,2.347043
261,1.078243,0.458382,2.352280
262,1.078070,0.465965,2.313629
263,1.086068,0.469728,2.312121
264,1.081466,0.453221,2.386178
265,1.072090,0.460094,2.330154
266,1.088944,0.466812,2.332725
267,1.083482,0.446375,2.427291
268,1.108783,0.442283,2.506954
269,1.085775,0.445395,2.437780
270,1.088420,0.451930,2.408382
271,1.084940,0.420112,2.582502
272,1.096353,0.455269,2.408143
273,1.081157,0.447213,2.417544
274,1.084194,0.457984,2.367319
275,1.086616,0.458433,2.370283
276,1.091376,0.436899,2.498005
277,1.236551,0.701608,1.762453
278,1.465582,0.637440,2.299169
279,1.131545,0.514854,2.197798
280,1.137465,0.619059,1.837410
281,1.173769,0.489968,2.395603
282,1.146109,0.699413,1.638673
283,1.214753,0.486305,2.497924
284,1.115463,0.527877,2.113112
285,1.114353,0.511640,2.178002
286,1.367951,0.507296,2.696554
287,1.121001,0.544045,2.060493
288,1.097624,0.445305,2.464881
289,1.085962,0.458439,2.368826
290,1.086885,0.451611,2.406684
291,1.092048,0.472989,2.308823
292,1.085291,0.475200,2.283862
293,1.079042,0.456158,2.365501
294,1.111091,0.551236,2.015636
295,1.149934,0.496807,2.314649
296,1.087784,0.471029,2.309378
297,1.092411,0.432609,2.525169
298,1.084537,0.459866,2.358376
299,1.086927,0.476904,2.279132
