numThreads,serialTime,parallelTime,speedUp
1,1.216188,1.184273,1.026949
2,1.195453,0.561367,2.129539
3,1.327485,0.504178,2.632969
4,1.442674,0.583408,2.472839
5,1.177996,0.597884,1.970275
6,1.209703,0.649996,1.861093
7,1.226937,0.515210,2.381431
8,1.110948,0.603262,1.841568
9,1.155604,0.549304,2.103760
10,1.122009,0.510223,2.199056
11,1.093562,0.466769,2.342833
12,1.127808,0.466469,2.417756
13,1.128463,0.432173,2.611137
14,1.136438,0.519105,2.189226
15,1.150477,0.613745,1.874520
16,1.188922,0.440853,2.696867
17,1.265840,0.536112,2.361148
18,1.107087,0.468919,2.360934
19,1.120393,0.555544,2.016749
20,1.282337,0.611099,2.098411
21,1.115516,0.731080,1.525847
22,1.185128,0.546889,2.167036
23,1.191075,0.592877,2.008975
24,1.146424,0.495171,2.315208
25,1.109335,0.471696,2.351801
26,1.108322,0.612554,1.809346
27,2.711702,0.798597,3.395583
28,2.719533,0.786596,3.457344
29,1.918007,0.742166,2.584337
30,2.540493,0.688227,3.691359
31,1.313272,0.576596,2.277629
32,1.068891,0.562709,1.899545
33,1.139724,0.445765,2.556782
34,1.159101,0.684547,1.693238
35,1.154652,0.504019,2.290890
36,1.101302,0.482913,2.280539
37,1.128833,0.512649,2.201961
38,1.106438,0.437503,2.528984
39,1.079592,0.516438,2.090458
40,1.146774,0.505525,2.268481
41,1.071625,0.476055,2.251053
42,1.087515,0.440434,2.469189
43,1.097014,0.475068,2.309173
44,1.071918,0.511425,2.095944
45,1.124123,0.507019,2.217122
46,1.088939,0.436369,2.495455
47,1.091648,0.444345,2.456758
48,1.079728,0.459315,2.350735
49,1.061894,0.484614,2.191216
50,1.074037,0.468460,2.292697
51,1.093667,0.481811,2.269909
52,1.150694,0.513761,2.239746
53,1.199871,0.516204,2.324412
54,1.106122,0.591730,1.869302
55,1.164530,0.573683,2.029919
56,1.586733,0.811878,1.954398
57,1.474021,0.769171,1.916376
58,1.351658,0.590334,2.289650
59,1.169069,0.682080,1.713976
60,1.713061,0.850119,2.015084
61,1.466722,0.638663,2.296551
62,1.470036,0.866144,1.697219
63,1.289728,0.722829,1.784278
64,2.077399,0.644010,3.225725
65,1.440083,0.547966,2.628052
66,1.077162,0.473538,2.274711
67,1.081522,0.476552,2.269473
68,1.086429,0.477427,2.275592
69,1.128127,0.621135,1.816235
70,1.187431,0.583631,2.034558
71,1.142364,0.527368,2.166161
72,1.085531,0.480694,2.258258
73,1.085956,0.473056,2.295618
74,1.080371,0.465506,2.320853
75,1.071847,0.463336,2.313326
76,1.092643,0.451943,2.417657
77,1.079518,0.464682,2.323133
78,1.080082,0.455855,2.369354
79,1.075175,0.476927,2.254381
80,1.088104,0.437713,2.485885
81,1.073679,0.462454,2.321699
82,1.077647,0.463270,2.326175
83,1.067860,0.469265,2.275601
84,1.144168,0.475758,2.404937
85,1.073977,0.474021,2.265674
86,1.097893,0.453961,2.418474
87,1.062274,0.465496,2.282026
88,1.066333,0.473934,2.249961
89,1.076068,0.550887,1.953337
90,1.069884,0.475221,2.251340
91,1.082514,0.452857,2.390410
92,1.076610,0.476717,2.258384
93,1.094913,0.440661,2.484706
94,1.103253,0.480404,2.296511
95,1.067411,0.468436,2.278670
96,1.085409,0.478663,2.267585
97,1.083297,0.456858,2.371190
98,1.075779,0.456570,2.356219
99,1.091727,0.523818,2.084172
100,1.092570,0.479325,2.279393
101,1.095761,0.457902,2.393003
102,1.091898,0.582453,1.874654
103,1.082144,0.453827,2.384486
104,1.071666,0.468209,2.288862
105,1.076867,0.458201,2.350207
106,1.098593,0.486334,2.258927
107,1.093150,0.442959,2.467836
108,1.101453,0.428540,2.570245
109,1.099495,0.421850,2.606365
110,1.072536,0.458349,2.339999
111,1.097505,0.444276,2.470323
112,1.073242,0.457897,2.343850
113,1.070225,0.466144,2.295911
114,1.066354,0.459437,2.321002
115,1.087860,0.450589,2.414307
116,1.069868,0.464584,2.302852
117,1.064683,0.465362,2.287860
118,1.105102,0.430467,2.567217
119,1.066090,0.457314,2.331199
120,1.080609,0.470407,2.297179
121,1.091622,0.438235,2.490951
122,1.081538,0.462023,2.340875
123,1.077701,0.444518,2.424426
124,1.085885,0.453760,2.393082
125,0.863660,0.176445,4.894783
126,0.875118,0.193073,4.532576
127,0.838972,0.176771,4.746095
128,0.839953,0.175286,4.791900
129,0.844963,0.175296,4.820207
130,0.840965,0.180144,4.668293
131,0.836639,0.179956,4.649131
132,0.845975,0.175323,4.825237
133,0.888121,0.205663,4.318331
134,0.835882,0.173210,4.825830
135,0.860532,0.178638,4.817183
136,0.858631,0.178660,4.805950
137,0.864043,0.178360,4.844377
138,0.840038,0.176927,4.747936
139,0.868274,0.172026,5.047342
140,0.835039,0.178742,4.671756
141,0.854664,0.178614,4.784978
142,0.847855,0.185525,4.570031
143,0.847890,0.176661,4.799531
144,0.859908,0.178846,4.808092
145,0.841032,0.182672,4.604055
146,0.830028,0.186804,4.443310
147,0.908038,0.298000,3.047107
148,1.163800,0.348057,3.343705
149,1.234363,0.289682,4.261097
150,1.120622,0.260370,4.303960
151,0.847355,0.176023,4.813888
152,0.845639,0.176430,4.793057
153,0.833995,0.180528,4.619754
154,0.828514,0.175449,4.722250
155,0.839976,0.181524,4.627355
156,0.843414,0.175672,4.801072
